Layer Name,Event Name,Description,Start At,Approximate?,End At,Approximate?,Symbol Code,Color
Personal Project,Re-intall web server,Upgrade and reinstall Ubuntu to build Webmin and LAMP environment together. I started setup personal website using WordPress.,"May 24, 2015",no,10 November 2015,yes,25cf,#42A5F5
Personal Project,Java programming tutor,I post advertisement online to mentor students. I provide tutorials for programming paper and assignments.,3 August 2015,no,13 November 2015,no,25cf,#424242
Personal Project,Hellopets,Project Hellopets is a WordPress website for sharing pets stories and photos,25 September 2015,no,1 month,no,25cf,#C62828
Personal Project,Updating Ann's Volcanic Motel,"To gain the Qualmark Award, Ann's Volcanic Motel need update their website from pure PHP to WordPress. I backed up all of data from old hosting and installed WordPress on new hosting.","October 25, 2015",no,11 December 2015,no,25cf,#C62828
Personal Project,Confluence on webserver,Reinstall Ubuntu and installed Confluence on my web server instead of WordPress,"November 11, 2015",no,today,no,25cf,#42A5F5
Skills,Java,"","December 18, 2013",no,today,no,25cf,#4DB6AC
Skills,Linux/Ubuntu,"","April 26, 2014",no,today,no,25cf,#4DB6AC
Skills,PHP,"",28 April 2014,no,today,no,25cf,#4DB6AC
Skills,HTML,"",28 April 2014,no,today,no,25cf,#4DB6AC
Skills,CSS,"",28 April 2014,no,today,no,25cf,#4DB6AC
Skills,JavaScript/JQuery,"",30 April 2014,no,today,no,25cf,#4DB6AC
Skills,LAMP,"","September 16, 2014",no,today,no,25cf,#4DB6AC
Skills,WordPress,"","September 16, 2014",no,today,no,25cf,#4DB6AC
Skills,Magento,"",8 November 2014,no,8 May 2015,no,25cf,#4DB6AC
Skills,ASP.Net,"",10 December 2014,no,today,no,25cf,#4DB6AC
Skills,SQL Server,"",10 December 2014,no,today,no,25cf,#4DB6AC
Skills,Bootstrap,"",10 January 2015,no,today,no,25cf,#4DB6AC
Skills,Webmin,"","January 11, 2015",no,today,no,25cf,#4DB6AC
Skills,AJAX,"",20 February 2015,no,today,no,25cf,#4DB6AC
Skills,Unity 2D&3D,"",26 February 2015,no,25 April 2015,no,25cf,#4DB6AC
Skills,MVC,"",10 May 2015,no,today,no,25cf,#4DB6AC
Skills,Kendo UI,"",31 August 2015,no,today,no,25cf,#4DB6AC
Skills,Confluence,"",5 November 2015,no,today,no,25cf,#4DB6AC
Skills,JIRA,"",11 November 2015,no,today,no,25cf,#4DB6AC
